Tên Thiền Sư Mới,Số Lần Xuất Hiện,Trích Từ (file TTL),Trích Đoạn Bio
Điển Ngưu,1,kinh-son-tri-sach,"n Dự Chương, bái yết Thiền sư Điển Ngưu. Đường đi do từ Vân Cư nhưng"
Động Phu,1,huong-nghiem-dong-phu,"Thiền sư Động Phu ở Hương nghiêm Thiền sư Động"
Đạo Trăng,1,tinh-nhan-dao-trang,"Thiền sư Đạo Trăng – Tịnh Chiếu ở Tịnh nhân  T"
Đức Thăng,1,van-cu-duc-thang,"Thiền sư Đức Thăng – Ngoan Am ở Vân Cư Thiền sư"
Hoàng ngày nay,1,ha-bac-tri-hoang,không có tiếng nói: “Thiền sư Hoàng ngày nay được đạo”. Trí Hoàng sau đó l
Đạo Xuyên,1,da-phu-dao-xuyen,"Thiền sư Đạo Xuyên ở Dã phụ  Thiền sư Đạo Xuyê"
Tôi dùng tâm,1,tri-hai-dao-binh,"ất chẳng biết môn hạ Thiền sư Tôi dùng tâm truyền tâm, dùng pháp ấn pháp"
Thủy Nguyệt nghe,1,tong-dien-chan-dung,"rời hiện trên cao).  Thiền sư Thủy Nguyệt nghe bài kệ, liền bước xuống vỗ va"
Thanh Lãng Khoan,1,khoan-duc-thanh-lang,thống Đạo Nguyên hay Thiền sư Thanh Lãng Khoan Dực có nhiều đệ tử rất nổi ti
Thanh Lãng viên,1,khoan-duc-thanh-lang,"tựa. Hiện chưa biết Thiền sư Thanh Lãng viên tịch vào năm nào, chỉ biết là"
Chân Nguyên,1,minh-lieu-luc-hoa,Na Thái Tử Hành” của Thiền sư Chân Nguyên. Trong khoảng niên hiệu Minh
Giác Lâm Minh,1,minh-lieu-luc-hoa,sư Hải Điện-Mật Đa). Thiền sư Giác Lâm Minh Liễu là sư đệ của Thiền sư Mi
Minh Chánh Thanh,1,minh-lieu-luc-hoa,nh Liễu là sư đệ của Thiền sư Minh Chánh Thanh Đàm (hay là Giác Đạo Tuân). S
Thường Tổng nâng,1,van-sam-thieu-tu,"yền vật gì chăng?  Thiền sư Thường Tổng nâng cây phất trần lên.  Sư lại"
Chơn Linh,1,tanh-thien-an-cu,nên Long vị ghi là: Thiền sư Chơn Linh. Tháp của Hòa thượng nằm quan
Viễn đấm ngay,1,dao-trang-minh-bien,"Sư định trả lời. Thiền sư Viễn đấm ngay vào miệng Sư và bảo:  – Khô"
Giác Ngộ xây,1,tanh-thong-giac-ngo,"lên ngôi (năm 1802), Thiền sư Giác Ngộ xây dựng lại chùa Bát Nhã và đúc"
Chuyết Chuyết thông,1,vien-van-chuyet-cong,"ước). Hòa nhận thấy Thiền sư Chuyết Chuyết thông minh và đạo đức phẩm hạnh cao"
Minh Hành biên,1,vien-van-chuyet-cong,錄là văn bản do chính Thiền sư Minh Hành biên tập: 祖師諱圓炆號拙拙閩甸清漳海澄漸山人Tổ sư h
Bản Như khuyên,1,tinh-do-duy-chinh,"xét nghề tại Hữu Ty, Thiền sư Bản Như khuyên Sư nên đối trước tôn tượng Bồ"
Tông Liêu,1,ngoc-tuyen-tong-lien,"Thiền sư Tông Liêu – Cùng Cốc ở Ngọc Tuyền  Th"
Viễn khuyên răn,1,van-cu-phap-nhu,"g nên cố chối từ.  Thiền sư Viễn khuyên răn: – Mới đầu đến nhậm chức, tr"
Viễn ngợi khen,1,quy-tong-chanh-hien,"u lớp lớp chẳng hết. Thiền sư Viễn ngợi khen Sư khéo giỏi, nhân đó tự tay"
Tuệ Nam nghe,1,khai-nguyen-tu-kha,"xa thời sự làm gì? Thiền sư Tuệ Nam nghe vậy càng lấy làm kỳ lạ. Từ đó"
Viễn Công,1,giac-a,"hánh triều, nghe tên Thiền sư Viễn Công, nên đặc biệt đến nơi trượng"
Hạnh Đoan,1,kinh-son-hanh-doan,"Thiền sư Hạnh Đoan – Nguyên Sưu ở Kính Sơn Thiề"
Hỗn Nguyên,1,thien-muc-van-le,Tịnh Từ dự tham nơi Thiền sư Hỗn Nguyên. Thiền sư Hỗn Nguyên nêu cử c
