Tên,Lineage,Issues,URI
"Tôn Giả Bồ Đề Đạt Ma","","Bio chứa cả 'Lâm Tế' và 'Thiếu Lâm' - có thể confused",
"Đại Hồng Báo Ân","","Bio chứa cả 'Lâm Tế' và 'Thiếu Lâm' - có thể confused",
"Thanh Ninh Tâm Tịnh","","Bio chứa cả 'Lâm Tế' và 'Thiếu Lâm' - có thể confused",
"Trừng Văn Giác Nguyên","","Bio chứa cả 'Lâm Tế' và 'Thiếu Lâm' - có thể confused",
"aśvaghoṣa","","Bio quá ngắn hoặc trống",
"Công Thắng","","Bio quá ngắn hoặc trống",
"馬鳴","","Bio quá ngắn hoặc trống",
"Rta-dbyans","","Bio quá ngắn hoặc trống",
"Bắc Ấn Độ","","Bio quá ngắn hoặc trống",
"Hoa Thị","","Bio quá ngắn hoặc trống",
"Kashmia","","Bio quá ngắn hoặc trống",
"Thành Ta Chi Đa","","Bio quá ngắn hoặc trống",
"Xá Vệ","","Bio quá ngắn hoặc trống",
"Ðại thừa khởi tín luận (mahāyānaśraddhotpāda-śāstra)","","Bio quá ngắn hoặc trống",
"Ðại tông địa huyền văn bản luận (mahāyānabhūmiguhyavācāmūla-śāstra)","","Bio quá ngắn hoặc trống",
"Ðại trang nghiêm kinh luận (mahālaṅkāra-sūtra-śāstra)","","Bio quá ngắn hoặc trống",
"Hi khúc Xá-lị tử (śāriputraprakaraṇa)","","Bio quá ngắn hoặc trống",
"Lục đạo luân hồi kinh","","Bio quá ngắn hoặc trống",
"Ni-kiền tử vấn vô ngã nghĩa kinh","","Bio quá ngắn hoặc trống",
"Phật sở hạnh tán (buddhacarita-kāvya)","","Bio quá ngắn hoặc trống",
"Sự sư pháp ngũ thập tụng","","Bio quá ngắn hoặc trống",
"Thập bất thiện nghiệp đạo kinh (daśaduṣṭakarmamārga-sūtra)","","Bio quá ngắn hoặc trống",
"Tôn-già-lợi Nan-đà (saudarananda-kāvya)","","Bio quá ngắn hoặc trống",
"Chuyển tư tưởng Phật giáo từ Tiểu thừa sang Đại thừa","","Bio quá ngắn hoặc trống",
"Mở đầu nền văn học Văn thể (Kavya) tiếng Phạn","","Bio quá ngắn hoặc trống",
"Chủ trì Đại Hội Kiết tập kinh điển lần thứ tư tại Kashmia","","Bio quá ngắn hoặc trống",
"Tranh luận với Hiếp Tôn Giả, quy y Phật giáo","","Bio quá ngắn hoặc trống",
"Truyền pháp ở Hoa Thị, sự kiện với ông già biến thành người vàng, con sâu ma","","Bio quá ngắn hoặc trống",
"Paramartha (Chân Đế)","","Bio quá ngắn hoặc trống",
"Cưu Ma La Đa (kumāralāta)","","Bio quá ngắn hoặc trống",
"Cưu Ma La Thập","","Bio quá ngắn hoặc trống",
"Đại sư Cưu Ma La Thập","","Bio quá ngắn hoặc trống",
"Vua Kaniska","","Bio quá ngắn hoặc trống",
"Nghĩa Tịnh","","Bio quá ngắn hoặc trống",
"Pháp Hộ Đàm Ma La Sát","","Bio quá ngắn hoặc trống",
"Phú Na Dạ Xa","","Bio quá ngắn hoặc trống",
"Teidaro Suzuki","","Bio quá ngắn hoặc trống",
"Thánh Thiên","","Bio quá ngắn hoặc trống",
"Thực Xoa Nan Đà (Siksananda)","","Bio quá ngắn hoặc trống",
"Ta Chi Đa, Xá Vệ, Trung Ấn Độ","","Bio quá ngắn hoặc trống",
"Nhạc Sơn Am Chủ Tổ","","Bio quá ngắn hoặc trống",
"Công Mỹ","","Bio quá ngắn hoặc trống",
"Tể Nguyên","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Hồng Châu","","Bio quá ngắn hoặc trống",
"núi Huỳnh Nghiệt","","Bio quá ngắn hoặc trống",
"Tân An","","Bio quá ngắn hoặc trống",
"Tuyên Thành","","Bio quá ngắn hoặc trống",
"Tận lực ủng hộ Phật giáo sau thời kỳ Đường Vũ Tông diệt Phật","","Bio quá ngắn hoặc trống",
"Bùi Túc","","Bio quá ngắn hoặc trống",
"Khuê Phong Tông Mật","","Bio quá ngắn hoặc trống",
"Văn Hỷ Hà Đông","","Bio quá ngắn hoặc trống",
"Cảnh Sơn Cư","","Bio quá ngắn hoặc trống",
"N Tây Kinh Ðạo Thâm","","Bio quá ngắn hoặc trống",
"Cư Sĩ Ðề Hình Dương","","Bio quá ngắn hoặc trống",
"Tề Châu Thiện Ứng","","Bio quá ngắn hoặc trống",
"Tuệ Nhật Nam","","Bio quá ngắn hoặc trống",
"Cư Sĩ Triều Thỉnh Thôi Công","","Bio quá ngắn hoặc trống",
"Thiếu Lâm Giang","","Bio quá ngắn hoặc trống",
"Linh Nham Ứng","","Bio quá ngắn hoặc trống",
"Hợp Châu Giám","","Bio quá ngắn hoặc trống",
"Ðại Trí","","Bio quá ngắn hoặc trống",
"Đại Hồng Cung","","Bio quá ngắn hoặc trống",
"Chiêu Đề Bảo","","Bio quá ngắn hoặc trống",
"Long Môn Nam","","Bio quá ngắn hoặc trống",
"Trừng Chiêm Huệ Nhật","","Bio quá ngắn hoặc trống",
"Hiếp tì kheo","","Bio quá ngắn hoặc trống",
"Nan Sanh","","Bio quá ngắn hoặc trống",
"Bắc Thiên Trúc","","Bio quá ngắn hoặc trống",
"Ca Thấp Di La","","Bio quá ngắn hoặc trống",
"Trung Ấn Độ","","Bio quá ngắn hoặc trống",
"Hoằng dương chánh pháp","","Bio quá ngắn hoặc trống",
"Kết tập kinh điển lần thứ tư và biên tập bộ luận Đại Tì Bà Sa","","Bio quá ngắn hoặc trống",
"Đối luận với Mã Minh","","Bio quá ngắn hoặc trống",
"Kết tập kinh điển lần thứ tư","","Bio quá ngắn hoặc trống",
