"monk","label"
"ex:monk/hong_mao_thien_tam","Hồng Mão Thiện Tâm"
"ex:monk/hong_nhon_tu_nhan","Hồng Nhơn Từ Nhẫn"
"ex:monk/hong_nhan_tu_nhon","Hồng Nhẫn Từ Nhơn"
"ex:monk/hong_phap_thien_minh","Hồng Pháp Thiện Minh"
"ex:monk/hong_phuoc_tu_giao","Hồng Phước Tử Giao"
"ex:monk/hong_quy_buu_thanh","Hồng Quý Bửu Thanh"
"ex:monk/hong_sang_thien_quang","Hồng Sáng Thiện Quang"
"ex:monk/hong_thong_tri_chau","Hồng Thông Trí Châu"
"ex:monk/hong_trung_dieu_hau","Hồng Trung Diệu Hậu"
"ex:monk/hong_trung_thien_tin","Hồng Trung Thiện Tín"
"ex:monk/hong_tong_pho_quang","Hồng Tòng Phổ Quảng"
"ex:monk/hong_toi_thien_tuong","Hồng Tôi Thiện Tường"
"ex:monk/hong_tong_quang_dat","Hồng Tồng Quảng Đạt"
"ex:monk/hong_tu_dieu_nga","Hồng Từ Diệu Nga"
"ex:monk/hong_xung_thien_quang","Hồng Xứng Thiện Quang"
"ex:monk/ho_khau_nguyen_tinh","Hổ Khâu Nguyên Tịnh"
"ex:monk/ho_khau_thieu_long","Hổ Khâu Thiệu Long"
"ex:monk/ho_quoc_canh_nguyen","Hộ Quốc Cảnh Nguyên"
"ex:monk/ho_quoc_canh_tan","Hộ Quốc Cảnh Tân"
"ex:monk/ho_quoc_tue_ban","Hộ Quốc Tuệ Bản"
"ex:monk/ho_quoc_te_nguyet","Hộ Quốc Tề Nguyệt"
"ex:monk/huu_thanh_phap_cu","Hựu Thánh Pháp Cư"
"ex:monk/khai_nguyen_chi_khiem","Khai Nguyên Chí Khiêm"
"ex:monk/khai_nguyen_tu_kha","Khai Nguyên Tử Kha"
"ex:monk/khai_phuoc_tong_triet","Khai Phước Tông Triết"
"ex:monk/khai_phuoc_dao_ninh","Khai Phước Đạo Ninh"
"ex:monk/khai_thien_dao_khiem","Khai Thiện Đạo Khiêm"
"ex:monk/khai_thanh_bao_tinh","Khai Thánh Bảo Tình"
"ex:monk/khai_tien_hanh_anh","Khai Tiên Hạnh Anh"
"ex:monk/khoan_tinh","Khoan Tịnh"
"ex:monk/khanh_thien_pho_nang","Khánh Thiện Phổ Năng"
"ex:monk/khanh_thien_tong_chan","Khánh Thiện Tông Chấn"
"ex:monk/kham_son_pho_so","Khâm Sơn Phổ Sơ"
"ex:monk/khong_hoa_hue_chieu","Không Hoa Huệ Chiếu"
"ex:monk/khong_that_tri_thong","Không Thất Trí Thông"
"ex:monk/khong_tam_tri_quang","Không Tâm Trí Quảng"
"ex:monk/khong_tin_ke_chau","Không Tín Kế Châu"
"ex:monk/khe_vi","Khế Vi"
"ex:monk/kim_chau_thao","Kim Châu Thao"
"ex:monk/kim_hoa_cau_chi","Kim Hoa Câu Chi"
"ex:monk/kim_lang_du_dao_ba","Kim Lăng Du Đạo Bà"
"ex:monk/kim_lang_phap_tri","Kim Lăng Pháp Trì"
"ex:monk/kim_son_thien_khai","Kim Sơn Thiện Khai"
"ex:monk/kim_son_dam_dinh","Kim Sơn Ðàm Dĩnh"
"ex:monk/kinh_trieu_duy_khoan","Kinh Triệu Duy Khoan"
"ex:monk/kinh_trieu_hoang_bien","Kinh Triệu Hoằng Biện"
"ex:monk/kinh_trieu_hung_binh","Kinh Triệu Hưng Bình"
"ex:monk/kinh_trieu_me_ho","Kinh Triệu Mễ Hồ"
"ex:monk/kinh_trieu_thi_loi","Kinh Triệu Thi Lợi"
"ex:monk/kinh_trieu_thao_duong","Kinh Triệu Thảo Đường"
"ex:monk/kiem_mon_nam_tu_tao","Kiếm Môn Nam Tu Tạo"
"ex:monk/kien_chau_bach_van_uoc","Kiến Châu Bạch Vân Ước"
"ex:monk/kien_long_chieu_khanh","Kiến Long Chiêu Khánh"
"ex:monk/kien_chau_xu_triet","Kiền Châu Xứ Triệt"
"ex:monk/kien_chau_xu_triet","Kiền Châu Xứ Vy"
"ex:monk/ke_lam_dao_nghia","Kê Lâm Đạo Nghĩa"
"ex:monk/kinh_son_bao_an","Kính Sơn Bảo Ấn"
"ex:monk/kinh_son_giam_tong","Kính Sơn Giám Tông"
"ex:monk/kinh_son_hanh_doan","Kính Sơn Hạnh Ðoan"
"ex:monk/kinh_son_hong_nhan","Kính Sơn Hồng Nhân"
"ex:monk/kinh_son_nguyen_hy","Kính Sơn Nguyên Hy"
"ex:monk/kinh_son_nhu_diem","Kính Sơn Như Diễm"
"ex:monk/kinh_son_thien_tran","Kính Sơn Thiện Trân"
"ex:monk/kinh_son_tri_sach","Kính Sơn Trí Sách"
"ex:monk/kinh_son_dao_kham","Kính Sơn Đạo Khâm"
"ex:monk/kinh_son_dao_xung","Kính Sơn Đạo Xung"
"ex:monk/ky_ngan_pho_minh","Kỳ Ngạn Phổ Minh"
"ex:monk/la_han_he_nam","La Hán Hệ Nam"
"ex:monk/la_han_tong_triet","La Hán Tông Triệt"
"ex:monk/la_phu_hy","La Phù Hy"
"ex:monk/lang_da_vinh_khoi","Lang Da Vĩnh Khởi"
"ex:monk/lang_nha_phuong_duyet","Lang Nha Phương Duyệt"
"ex:monk/lang_nha_tue_giac","Lang Nha Tuệ Giác"
"ex:monk/lang_son_tue_on","Lang Sơn Tuệ Ôn"
"ex:monk/thanh_vien_phat_nhan","Lang Sơn Tuệ Ôn"
"ex:monk/linh_kieu","Linh Kiệu"
"ex:monk/linh_nham_trong_xac","Linh Nham Trọng Xác"
"ex:monk/linh_son_ban_ngon","Linh Sơn Bản Ngôn"
"ex:monk/linh_son_ngan_van","Linh Sơn Ngạn Văn"
"ex:monk/linh_thuu_tue_giac","Linh Thứu Tuệ Giác"
"ex:monk/linh_thuu_tong_anh","Linh Thứu Tông Ánh"
"ex:monk/linh_van_chi_can","Linh Vân Chí Cần"
"ex:monk/linh_an_chi_thien","Linh Ẩn Chi Thiện"
"ex:monk/linh_an_sung_nhac","Linh Ẩn Sùng Nhạc"
"ex:monk/linh_an_tue_vien","Linh Ẩn Tuệ Viễn"
"ex:monk/linh_an_to_ngan","Linh Ẩn Tổ Ngân"
"ex:monk/linh_an_duc_chuong","Linh Ẩn Ðức Chương"
"ex:monk/liem_tuyen_dam_tu","Liêm Tuyền Ðàm Tú"
"ex:monk/lieu_dieu_chanh_quang","Liễu Diệu Chánh Quang"
"ex:monk/lieu_kien_tu_hoa","Liễu Kiến Từ Hòa"
"ex:monk/lieu_nang_uc_chat","Liễu Năng Ðức Chất"
"ex:monk/lieu_thong_hue_giam","Liễu Thông Huệ Giám"
"ex:monk/lieu_triet_tu_minh","Liễu Triệt Từ Minh"
"ex:monk/lieu_tri_hue_nhut","Liễu Trí Huệ Nhựt"
"ex:monk/lieu_dao_chi_tan","Liễu Đạo Chí Tân"
"ex:monk/lieu_duc_hue_giao","Liễu Đức Huệ Giáo"
"ex:monk/long_an_nhu_hai","Long An Như Hải"
"ex:monk/long_hoa_ban","Long Hoa Bản"
"ex:monk/truong_linh_thu_trac","Long Hoa Bản"
"ex:monk/bach_van_thu_doan","Long Hoa Cao"
"ex:monk/long_hoa_cao","Long Hoa Cao"
"ex:monk/cuu_danh_to","Long Hoa Ðạo Sơ"
"ex:monk/long_hoa_dao_so","Long Hoa Ðạo Sơ"
"ex:monk/long_hung_su_dinh","Long Hưng Sư Ðịnh"
"ex:monk/an_hoa_van_nhat","Long Khánh Khánh Nhàn"
"ex:monk/long_khanh_khanh_nhan","Long Khánh Khánh Nhàn"
"ex:monk/long_mon_chieu","Long Môn Chiếu"
"ex:monk/long_nha_tri_tai","Long Nha Trí Tài"
"ex:monk/long_nha_tong_mat","Long Nha Tông Mật"
"ex:monk/thien_dong_pho_giao","Long Nha Tông Mật"
"ex:monk/long_nha_vien_suong","Long Nha Viên Sướng"
"ex:monk/long_tuyen_quy","Long Tuyền Quỳ"
"ex:monk/long_tuong_hy_lien","Long Tường Hy Liên"
"ex:monk/long_tuong_nam_nha","Long Tường Nam Nhã"
"ex:monk/long_tuong_si_khue","Long Tường Sĩ Khuê"
"ex:monk/long_vuong_thien_tuy","Long Vương Thiện Tùy"
"ex:monk/long_dam_sung_tin","Long Đàm Sùng Tín"
"ex:monk/long_dam_tri_vien","Long Đàm Trí Viên"
"ex:monk/ly_thon_tu_man","Ly Thôn Tự Mãn"
"ex:monk/lam_te_nghia_huyen","Lâm Tế Nghĩa Huyền"
"ex:monk/lang_chau_co_de","Lãng Châu Cổ Đề"
"ex:monk/lang_chau_hoai_chinh","Lãng Châu Hoài Chính"
"ex:monk/lao_na_tu_dang_dai_hoang","Lão Na Từ Đăng Đại Hoằng"
"ex:monk/lo_son_phap_chan","Lô Sơn Pháp Chân"
"ex:monk/ly_tuan_uc","Lý Tuân Úc"
"ex:monk/lung_chau_quoc_thanh_phung","Lũng Châu Quốc Thanh Phụng"
"ex:monk/lung_nhung_tri_vien","Lũng Nhung Trí Viên"
"ex:monk/lu_chau_dai_giac","Lư Châu Đại Giác"
"ex:monk/luu_thiet_ma","Lưu Thiết Ma"
"ex:monk/luong_son_hoai","Lương Sơn Hoài"
"ex:monk/luong_son_su_vien","Lương Sơn Sư Viễn"
"ex:monk/lac_kinh_hac_gian","Lạc Kinh Hắc Giản"
"ex:monk/lac_dam_buu_long","Lặc Đàm Bửu Long"
"ex:monk/lac_dam_canh_tuong","Lặc Đàm Cảnh Tường"
"ex:monk/lac_dam_duy_kien","Lặc Đàm Duy Kiến"
"ex:monk/lac_dam_hong_anh","Lặc Đàm Hồng Anh"
"ex:monk/lac_dam_khac_van","Lặc Đàm Khắc Văn"
"ex:monk/lac_dam_phap_hoi","Lặc Đàm Pháp Hội"
"ex:monk/lac_dam_thien_thanh","Lặc Đàm Thiện Thanh"
"ex:monk/lac_dam_thuong_hung","Lặc Đàm Thường Hưng"
"ex:monk/lac_dam_trach_minh","Lặc Đàm Trạch Minh"
"ex:monk/lac_dam_van_chuan","Lặc Đàm Văn Chuẩn"
"ex:monk/lac_dam_ung_can","Lặc Đàm Ứng Càn"
"ex:monk/lo_to_bao_van","Lỗ Tổ Bảo Vân"
"ex:monk/loc_mon_tue_chieu","Lộc Môn Tuệ Chiêu"
"ex:monk/loc_thanh","Lộc Thanh"
"ex:monk/loi_son","Lợi Sơn"
"ex:monk/ma_coc_bao_triet","Ma Cốc Bảo Triệt"
"ex:monk/ma_ha_ca_diep","Ma Ha Ca Diếp"
"ex:monk/minh_chau_quan_tong","Minh Châu Quán Tông"
"ex:monk/minh_giac_ky_phuong","Minh Giác Kỳ Phương"
"ex:monk/minh_hanh_tai_tai","Minh Hành Tại Tại"
"ex:monk/minh_hai_phap_bao","Minh Hải Pháp Bảo"
"ex:monk/minh_hang_dinh_nhien","Minh Hằng Định Nhiên"
"ex:monk/minh_khiem_hoang_an","Minh Khiêm Hoằng Ân"
"ex:monk/minh_khue_dao_hanh","Minh Khê Đạo Hạnh"
"ex:monk/minh_ly_quang_an","Minh Lý Quảng An"
"ex:monk/minh_nhan_dam_ngoan","Minh Nhân Ðàm Ngoạn"
"ex:monk/minh_phuong_chon_huong","Minh Phương Chơn Hương"
"ex:monk/minh_phung","Minh Phụng"
"ex:monk/minh_vi_mat_hanh","Minh Vi Mật Hạnh"
"ex:monk/minh_vat_nhut_tri","Minh Vật Nhứt Tri"
"ex:monk/ma_to_dao_nhat","Mã Tổ Đạo Nhất"
"ex:monk/ma_dau_than_tang","Mã Đầu Thần Tạng"
"ex:monk/mong_khe","Mông Khê"
"ex:monk/mong_son_hue_minh","Mông Sơn Huệ Minh"
"ex:monk/mat_son_lieu_nhien","Mạt Sơn Liễu Nhiên"
"ex:monk/mat_dien_de_ca","Mạt Điền Để Ca"
"ex:monk/mat_am_han_kiet","Mật Am Hàn Kiệt"
"ex:monk/mat_van_vien_ngo","Mật Vân Viên Ngộ"
"ex:monk/me_lanh","Mễ Lãnh"
"ex:monk/me_thuong","Mễ Thương"
"ex:monk/moc_tran_tung_lang","Mộc Trần Tùng Lãng"
"ex:monk/muc_chau_tran_thao","Mục Châu Trần Thao"
"ex:monk/muc_chau_dao_minh","Mục Châu Đạo Minh"
"ex:monk/nam_duong_hue_trung","Nam Dương Huệ Trung"
"ex:monk/nam_hoa_tri_binh","Nam Hoa Tri Bính"
"ex:monk/nam_minh_dao_quang","Nam Minh Đạo Quảng"
"ex:monk/nam_nguyen_dao_minh","Nam Nguyên Đạo Minh"
"ex:monk/nam_nham_thang","Nam Nham Thắng"
"ex:monk/nam_nhac_hoai_nhuong","Nam Nhạc Hoài Nhượng"
"ex:monk/loc_thanh","Nam Nhạc Huyền Thái"
"ex:monk/nam_nhac_minh_toan","Nam Nhạc Minh Toản"
"ex:monk/nam_phong_vinh_trinh","Nam Phong Vĩnh Trình"
"ex:monk/nam_thien_vo_nhiem","Nam Thiền Vô Nhiễm"
"ex:monk/nam_thap_quang_dung","Nam Tháp Quang Dũng"
"ex:monk/nam_tuyen_pho_nguyen","Nam Tuyền Phổ Nguyện"
"ex:monk/nam_vien_hue_ngung","Nam Viện Huệ Ngung"
"ex:monk/nam_dai_duan_cung","Nam Đài Duẫn Cung"
"ex:monk/nam_dang_phap_khong","Nam Đãng Pháp Không"
"ex:monk/nga_ho_dai_nghia","Nga Hồ Đại Nghĩa"
"ex:monk/nguyen_le","Nguyên Lễ"
"ex:monk/nguyen_thieu_sieu_bach","Nguyên Thiều Siêu Bạch"
"ex:monk/nguyen_thieu_tho_tong","Nguyên Thiều Thọ Tông"
"ex:monk/nguyet_chau_than_giam","Nguyệt Châu Thần Giám"
"ex:monk/nguyet_chuong_tri_uyen","Nguyệt Chưởng Trí Uyên"
"ex:monk/tho_thanh_so_van","Nguyệt Chưởng Trí Uyên"
"ex:monk/bach_van_khong_do","Nguyệt Khê Diệu Trừng"
"ex:monk/nguyet_khe_dieu_trung","Nguyệt Khê Diệu Trừng"
"ex:monk/nguyet_danh_dao_luan","Nguyệt Đảnh Ðạo Luân"
"ex:monk/ngu_phong_thuong_quan","Ngũ Phong Thường Quán"
"ex:monk/ngo_hung_phap_hai","Ngô Hưng Pháp Hải"
"ex:monk/ngo_tuan","Ngô Tuân"
"ex:monk/ngu_due_linh_mac","Ngũ Duệ Linh Mặc"
"ex:monk/ngu_phong_ban","Ngũ Phong Bản"
"ex:monk/ngu_to_bieu_tu","Ngũ Tổ Biểu Tự"
"ex:monk/ngu_to_hieu_thuong","Ngũ Tổ Hiểu Thường"
"ex:monk/ngu_to_phap_dien","Ngũ Tổ Pháp Diễn"
"ex:monk/ngu_dai_cu_phuong","Ngũ Đài Cự Phương"
"ex:monk/ngu_dai_tri_thong","Ngũ Đài Trí Thông"
"ex:monk/ngu_dai_an_phong","Ngũ Đài Ẩn Phong"
"ex:monk/thach_cung_hue_tang","Ngũ Đài Ẩn Phong"
"ex:monk/nguu_dau_hue_phuong","Ngưu Đầu Huệ Phương"
"ex:monk/nguu_dau_hue_trung","Ngưu Đầu Huệ Trung"
"ex:monk/nguu_dau_phap_dung","Ngưu Đầu Pháp Dung"
"ex:monk/nguu_dau_tri_nham","Ngưu Đầu Trí Nham"
"ex:monk/nguu_dau_tri_oai","Ngưu Đầu Trí Oai"
"ex:monk/nguong_son_hue_tich","Ngưỡng Sơn Huệ Tịch"
"ex:monk/nguong_son_hanh_vy","Ngưỡng Sơn Hạnh Vỹ"
"ex:monk/nguong_son_huu_an","Ngưỡng Sơn Hữu Ân"
"ex:monk/nguong_son_thanh_gian","Ngưỡng Sơn Thanh Giản"
"ex:monk/nguong_son_dong_thap","Ngưỡng Sơn Đông Tháp"
"ex:monk/ngac_chau_phu_dung","Ngạc Châu Phù Dung"
"ex:monk/ngac_chau_vo_dang","Ngạc Châu Vô Đẳng"
"ex:monk/ngoc_tuyen_ngo_khong","Ngọc Tuyền Ngộ Không"
"ex:monk/ngoc_tuyen_thien_sieu","Ngọc Tuyền Thiên Siêu"
"ex:monk/ngoc_tuyen_than_tu","Ngọc Tuyền Thần Tú"
"ex:monk/ngoc_tuyen_tong_lien","Ngọc Tuyền Tông Liên"
"ex:monk/ngoc_tuyen_vi_phuong","Ngọc Tuyền Vị Phương"
"ex:monk/ngo_thieu_minh_ly","Ngộ Thiệu Minh Lý"
"ex:monk/ngo_tu_tam_khong","Ngộ Tu Tâm Không"
"ex:monk/ngo_tanh_phuoc_hue","Ngộ Tánh Phước Huệ"
"ex:monk/nham_dau_toan_khoat","Nham Đầu Toàn Khoát"
"ex:monk/nhuan_vuong_xu_binh","Nhuận Vương Xứ Bình"
"ex:monk/nhan_tho_tu_tran","Nhân Thọ Từ Trân"
"ex:monk/nhu_an_huyen_quang","Như An Huyền Quang"
"ex:monk/nhu_binh_huyen_tinh","Như Bình Huyền Tịnh"
"ex:monk/nhu_buu_dat_thanh","Như Bửu Đạt Thanh"
"ex:monk/nhu_chanh_huyen_tan","Như Chánh Huyền Tấn"
"ex:monk/nhu_giac_giac_ngo","Như Giác Giác Ngộ"
"ex:monk/nhu_hien_chi_thien","Như Hiền Chí Thiền"
"ex:monk/nhu_hue_thien_tam","Như Huệ Thiền Tâm"
"ex:monk/nhu_hue_tri_thong","Như Huệ Trí Thông"
"ex:monk/nhu_hoa_tam_an","Như Hòa Tâm Ấn"
"ex:monk/nhu_huong_huyen_tam","Như Hương Huyền Tâm"
"ex:monk/nhu_huong_hoa_phuoc","Như Hương Hòa Phước"
"ex:monk/nhu_huong_tho_minh","Như Hường Thọ Minh"
"ex:monk/nhu_hanh_huyen_tham","Như Hạnh Huyền Thâm"
"ex:monk/nhu_khuon_giac_son","Như Khuôn Giác Sơn"
"ex:monk/nhu_ke_huyen_ton","Như Kế Huyền Tôn"
"ex:monk/nhu_ke_huyen_vi","Như Kế Huyền Vi"
"ex:monk/nhu_ke_huyen_duc","Như Kế Huyền Đức"
"ex:monk/nhu_lap_giai_thanh","Như Lập Giải Thành"
"ex:monk/nhu_le_huyen_dung","Như Lễ Huyền Dung"
"ex:monk/nhu_le_tin_tri","Như Lễ Tín Trí"
"ex:monk/nhu_minh","Như Minh"
"ex:monk/nhu_man_hoan_phu","Như Mẫn Hoàn Phú"
"ex:monk/nhu_nghia_tin_truyen","Như Nghĩa Tín Truyền"
"ex:monk/nhu_nghia_tan_hanh","Như Nghĩa Tấn Hạnh"
"ex:monk/nhu_nhan_tri_giac","Như Nhàn Trí Giác"
"ex:monk/nhu_niem_bao_toan","Như Niệm Bảo Toàn"
"ex:monk/nhu_phuoc_huyen_y","Như Phước Huyền Ý"
"ex:monk/nhu_pham_huyen_hoa","Như Phẩm Huyền Hoa"
"ex:monk/nhu_phuc_giai_dieu","Như Phục Giải Điều"
"ex:monk/nhu_phung_thien_tri","Như Phụng Thiện Trì"
"ex:monk/nhu_quang_hoang_phuc","Như Quang Hoằng Phúc"
"ex:monk/nhu_quang_tri_minh","Như Quang Trí Minh"
"ex:monk/nhu_quyen_giai_dat","Như Quyền Giải Đạt"
"ex:monk/nhu_quy_phap_an","Như Quý Pháp Ấn"
"ex:monk/nhu_qua_hoan_tuyen","Như Quả Hoàn Tuyên"
"ex:monk/nhu_sum_giac_tri","Như Sum Giác Trí"
"ex:monk/nhu_thien_huyen_an","Như Thiền Huyền An"
"ex:monk/nhu_thien_hoan_quan","Như Thiện Hoàn Quan"
"ex:monk/nhu_thuan_tin_tan","Như Thuận Tín Tấn"
"ex:monk/nhu_tham_giai_nguyen","Như Thâm Giải Nguyện"
"ex:monk/nhu_thong_huyen_ngo","Như Thông Huyền Ngộ"
"ex:monk/nhu_thong_huyen_an","Như Thông Huyền Ấn"
"ex:monk/nhu_thong_ton_nguyen","Như Thông Tôn Nguyên"
"ex:monk/nhu_thu_giai_hoc","Như Thư Giải Học"
"ex:monk/nhu_tho_huyen_tan","Như Thọ Huyền Tân"
"ex:monk/nhu_thua_hoang_nguyen","Như Thừa Hoằng Nguyện"
"ex:monk/nhu_tien_quang_hung","Như Tiến Quảng Hưng"
"ex:monk/nhu_truyen_tri_nhan","Như Truyện Trí Nhãn"
"ex:monk/nhu_truc_vinh_chau","Như Trực Vĩnh Châu"
"ex:monk/nhu_van_tri_phuoc","Như Vạn Trí Phước"
"ex:monk/nhu_ai_hoang_tham","Như Ái Hoằng Thâm"
"ex:monk/nhu_ien_hue_chan","Như Ðiền Huệ Chấn"
"ex:monk/nhu_ien_tri_tam","Như Ðiển Trí Tâm"
"ex:monk/nhu_ang_tri_o","Như Ðăng Trí Ðộ"
"ex:monk/nhu_ac_thien_phuong","Như Ðắc Thiền Phương"
"ex:monk/nhu_dat_hoang_tham","Như Đạt Hoằng Thâm"
"ex:monk/nhu_dat_thien_cang","Như Đạt Thiện Cang"
"ex:monk/nhu_dac_tu_nhan","Như Đắc Từ Nhẫn"
"ex:monk/nhac_son_am_chu_to","Nhạc Sơn Am Chủ Tổ"
"ex:monk/nhat_dung","Nhật Dung"
"ex:monk/nhat_tu","Nhật Tử"
"ex:monk/nhu_chau_nam_vien","Nhữ Châu Nam Viện"
"ex:monk/nhut_binh_tri_tinh","Nhựt Bình Trí Tịnh"
"ex:monk/noi_hang_to_thuc","Nội Hàng Tô Thức"
"ex:monk/noi_hang_to_thuc","Nội hàng Tô Thức"
"ex:monk/phap_dien_bao_trang","Pháp Diễn Bảo Tràng"
"ex:monk/phap_thai_nhat_le","Pháp Thái Nhật Lệ"
"ex:monk/phong_huyet_dien_chieu","Phong Huyệt Diên Chiểu"
"ex:monk/pha_am_to_tien","Phá Am Tổ Tiên"
"ex:monk/phap_chuyen_dieu_nghiem","Pháp Chuyên Diệu Nghiêm"
"ex:monk/phap_chau","Pháp Châu"
"ex:monk/phap_hien","Pháp Hiền"
"ex:monk/phap_hoa_toan_cu","Pháp Hoa Toàn Cử"
"ex:monk/phap_kiem_minh_giac","Pháp Kiêm Minh Giác"
"ex:monk/phap_kinh_ngo_trung","Pháp Kính Ngô Trung"
"ex:monk/phap_luan_ngan_tu","Pháp Luân Ngạn Tư"
"ex:monk/phap_luan_te_thiem","Pháp Luân Tề Thiêm"
"ex:monk/phap_luan_van_duc","Pháp Luân Văn Dục"
"ex:monk/phap_luan_ung_doan","Pháp Luân Ứng Ðoan"
"ex:monk/phap_le","Pháp Lệ"
"ex:monk/phap_nhan_thien_truong","Pháp Nhân Thiên Trường"
"ex:monk/phap_nhu","Pháp Như"
"ex:monk/phap_so","Pháp Sơ"
"ex:monk/phap_than_dao_minh","Pháp Thân Đạo Minh"
"ex:monk/phap_thach_tue_khong","Pháp Thạch Tuệ Không"
"ex:monk/phap_tanh_an_tong","Pháp Tánh Ấn Tông"
"ex:monk/phap_tinh_vien_quang","Pháp Tịnh Viên Quang"
"ex:monk/phap_van_cao","Pháp Vân Cảo"
"ex:monk/phap_an_quang_do","Pháp Ấn Quảng Độ"
"ex:monk/phu_boi","Phù Bôi"
"ex:monk/phu_chan_chan_kien","Phù Chẩn Chân Kiên"
"ex:monk/phu_dung_linh_huan","Phù Dung Linh Huấn"
"ex:monk/phu_dung_thai_duc","Phù Dung Thái Dục"
"ex:monk/phu_son_phap_vien","Phù Sơn Pháp Viễn"
"ex:monk/phu_son_duc_tuyen","Phù Sơn Ðức Tuyên"
"ex:monk/phuc_chau_dai_an","Phúc Châu Đại An"
"ex:monk/phuc_tien_nhan_kiem","Phúc Tiên Nhân Kiệm"
"ex:monk/phuong_bien","Phương Biện"
"ex:monk/phuong_lai_xuong_vien","Phương Lai Xương Viễn"
"ex:monk/phuong_quang_huu_dat","Phương Quảng Hữu Ðạt"
"ex:monk/phuong_quang_tham","Phương Quảng Thâm"
"ex:monk/phuong_son_tue_bao","Phương Sơn Tuệ Bảo"
"ex:monk/phuong_van_minh_thong","Phương Văn Minh Thông"
"ex:monk/phuoc_chau_pho_quang","Phước Châu Phổ Quang"
"ex:monk/phuoc_chau_song_phong","Phước Châu Song Phong"
"ex:monk/phuoc_khe","Phước Khê"
"ex:monk/phuoc_nghiem_bao_tong","Phước Nghiêm Bảo Tông"
"ex:monk/phuoc_nghiem_tu_cam","Phước Nghiêm Từ Cảm"
"ex:monk/phuoc_nghiem_van_dien","Phước Nghiêm Vân Diễn"
"ex:monk/phan_chau_thach_lau","Phần Châu Thạch Lâu"
"ex:monk/phan_chau_vo_nghiep","Phần Châu Vô Nghiệp"
"ex:monk/phan_duong_thien_chieu","Phần Dương Thiện Chiêu"
"ex:monk/phat_bao_phap_hoa","Phật Bảo Pháp Hóa"
"ex:monk/phat_chi_duc_hanh","Phật Chí Đức Hạnh"
"ex:monk/phat_quang_nhu_man","Phật Quang Như Mãn"
"ex:monk/phat_quat_duy_tac","Phật Quật Duy Tắc"
"ex:monk/phat_thien_hoa_nghiem","Phật Thiền Hoa Nghiêm"
"ex:monk/phat_tuyet_tuong_quang","Phật Tuyết Tường Quang"
"ex:monk/phat_tuong_duc_lien","Phật Tường Đức Liên"
"ex:monk/phat_tinh_tu_nghiem","Phật Tỉnh Từ Nghiêm"
"ex:monk/phat_y_linh_nhac","Phật Ý Linh Nhạc"
"ex:monk/pho_chieu_hieu_kham","Phổ Chiếu Hiểu Khâm"
"ex:monk/pho_hien_nguyen_to","Phổ Hiền Nguyên Tố"
"ex:monk/pho_minh_duc_dung","Phổ Minh Đức Dụng"
"ex:monk/phuc_nguu_tu_tai","Phục Ngưu Tự Tại"
"ex:monk/phung_the_tue_quan","Phụng Thê Tuệ Quán"
"ex:monk/dam_chau_dai_xuyen","Phụng Tường Phật Đà"
"ex:monk/phung_tuong_phat_da","Phụng Tường Phật Đà"
"ex:monk/quang_hieu_duy_sang","Quang Hiếu Duy Sảng"
"ex:monk/quang_hieu_ngo_so","Quang Hiếu Ngộ Sơ"
"ex:monk/quang_hieu_pho_an","Quang Hiếu Phổ Ấn"
"ex:monk/quang_hieu_qua_man","Quang Hiếu Quả Mẫn"
"ex:monk/quang_hieu_tue_lan","Quang Hiếu Tuệ Lan"
"ex:monk/quang_hieu_dam","Quang Hiếu Ðàm"
"ex:monk/quang_hieu_duc_chu","Quang Hiếu Ðức Chu"
"ex:monk/quang_nam_dao_ngo","Quang Nam Đạo Ngô"
"ex:monk/quang_nam_dao_thuong","Quang Nam Đạo Thường"
"ex:monk/quang_quoc_van_tan","Quang Quốc Văn Tán"
"ex:monk/quang_van_dieu_tri","Quang Vân Diệu Trí"
"ex:monk/quy_duong_vo_lieu","Quy Dương Vô Liễu"
"ex:monk/quy_phong_tu_quynh","Quy Phong Tử Quỳnh"
"ex:monk/quy_son_hieu_tan","Quy Sơn Hiểu Tân"
"ex:monk/quy_son_linh_huu","Quy Sơn Linh Hựu"
"ex:monk/quy_son_tri_chan","Quy Sơn Trí Chân"
"ex:monk/quy_tong_chanh_hien","Quy Tông Chánh Hiền"
"ex:monk/quy_tong_tri_thuong","Quy Tông Trí Thường"
"ex:monk/quan_khe_chi_nhan","Quán Khê Chí Nhàn"
"ex:monk/quan_son_giac","Quân Sơn Giác"
"ex:monk/quan_son_pho_tinh","Quân Sơn Phổ Tịnh"
"ex:monk/qua_lang_tuyen_thap","Quả Lãng Tuyên Thập"
"ex:monk/quang_chau_chi_dao","Quảng Châu Chí Đạo"
"ex:monk/quang_nguyet_duc_bao","Quảng Nguyệt Đức Bảo"
"ex:monk/quang_phap_nguyen","Quảng Pháp Nguyên"
"ex:monk/quang_tue_nguyen_lien","Quảng Tuệ Nguyên Liên"
"ex:monk/quang_tue_duc_tuyen","Quảng Tuệ Ðức Tuyên"
"ex:monk/quang_tue_dat_cao","Quảng Tuệ Đạt Cảo"
"ex:monk/than_nhien","Quốc Sư Cao Ly Thản Nhiên"
"ex:monk/tung_nhac_hue_an","Quốc Sư Tung Nhạc Huệ An"
"ex:monk/quoc_thanh_hanh_co","Quốc Thanh Hạnh Cơ"
