"monk","label"
"ex:monk/chieu_giac_thuan_bach","Chiêu Giác Thuần Bạch"
"ex:monk/chieu_giac_dao_nguyen","Chiêu Giác Ðạo Nguyên"
"ex:monk/chieu_giac_dao_to","Chiêu Giác Ðạo Tổ"
"ex:monk/chieu_hien_hoi_thong","Chiêu Hiền Hội Thông"
"ex:monk/chieu_giac_thuong_tong","Chiếu Giác Thường Tổng"
"ex:monk/chieu_hien_hoi_thong","Chiều Hiền Hội Thông"
"ex:monk/chieu_de_tue_lang","Chiều Đề Tuệ Lãng"
"ex:monk/chung_nam_phong_duc","Chung Nam Phong Đức"
"ex:monk/chung_nam_su_to_van_te","Chung Nam Sư Tổ Vân Tế"
"ex:monk/chung_son_dao_long","Chung Sơn Ðạo Long"
"ex:monk/chung_son_dam_thoi","Chung Sơn Đàm Thôi"
"ex:monk/chanh_nhac_bon_sieu","Chánh Nhạc Bổn Siêu"
"ex:monk/chanh_phap_hy_ninh","Chánh Pháp Hy Ninh"
"ex:monk/chanh_phap_kien","Chánh Pháp Kiến"
"ex:monk/chanh_truyen_huyen_huu","Chánh Truyền Huyễn Hữu"
"ex:monk/chan_nhu_gioi_huong","Chân Như Giới Hương"
"ex:monk/chan_dao_bich_phong","Chân Đạo Bích Phong"
"ex:monk/chuc_tho_quang_thien","Chúc Thọ Quảng Thiện"
"ex:monk/chon_an_chanh_liem","Chơn An Chánh Liêm"
"ex:monk/chon_bich_tri_huy","Chơn Bích Trí Huy"
"ex:monk/chon_bon_phuoc_khanh","Chơn Bổn Phước Khánh"
"ex:monk/chon_chanh_phap_tang","Chơn Chánh Pháp Tạng"
"ex:monk/chon_chau_van_thanh","Chơn Châu Vạn Thành"
"ex:monk/chon_chat_quang_long","Chơn Chất Quang Long"
"ex:monk/chon_chung_thien_qua","Chơn Chứng Thiện Quả"
"ex:monk/chon_cong_vien_giac","Chơn Công Viên Giác"
"ex:monk/chon_canh_hue_duyet","Chơn Cảnh Huệ Duyệt"
"ex:monk/chon_canh_tri_thang","Chơn Cảnh Trí Thắng"
"ex:monk/chon_dung_pho_nhuan","Chơn Dung Phổ Nhuận"
"ex:monk/chon_giac_long_hai","Chơn Giác Long Hải"
"ex:monk/chon_giam_tri_hai","Chơn Giám Trí Hải"
"ex:monk/chon_hue_pho_tri","Chơn Huệ Phổ Trí"
"ex:monk/chon_huong_chi_bao","Chơn Hương Chí Bảo"
"ex:monk/chon_huong_thien_quang","Chơn Hương Thiên Quang"
"ex:monk/chon_khai_pho_hy","Chơn Khai Phổ Hy"
"ex:monk/chon_kim_phap_lam","Chơn Kim Pháp Lâm"
"ex:monk/chon_kinh_phap_huong","Chơn Kinh Pháp Hương"
"ex:monk/chon_kiet_pho_hoa","Chơn Kiết Phổ Hóa"
"ex:monk/chon_luan_phuoc_hue","Chơn Luận Phước Huệ"
"ex:monk/chon_mien_tri_hung","Chơn Miên Trí Hưng"
"ex:monk/chon_man_khanh_phu","Chơn Mẫn Khánh Phú"
"ex:monk/chon_ngoc_long_tri","Chơn Ngọc Long Trí"
"ex:monk/chon_nha_hoang_nghia","Chơn Nhã Hoằng Nghĩa"
"ex:monk/chon_nhan_phuoc_dien","Chơn Nhẫn Phước Điền"
"ex:monk/chon_phap_phuoc_tri","Chơn Pháp Phước Trí"
"ex:monk/chon_phat_long_ton","Chơn Phát Long Tôn"
"ex:monk/chon_phu_bich_lam","Chơn Phú Bích Lâm"
"ex:monk/chon_phuoc_hoang_tho","Chơn Phước Hoằng Thọ"
"ex:monk/chon_quang_hoang_nhon","Chơn Quang Hoằng Nhơn"
"ex:monk/chon_quy_khanh_anh","Chơn Quý Khánh Anh"
"ex:monk/chon_quy_phuoc_long","Chơn Quý Phước Long"
"ex:monk/chon_quynh_dieu_nguyen","Chơn Quỳnh Diệu Nguyên"
"ex:monk/chon_sam_pho_truyen","Chơn Sâm Phổ Truyền"
"ex:monk/chon_su_khanh_tin","Chơn Sử Khánh Tín"
"ex:monk/chon_su_khanh_quy","Chơn Sự Khánh Quý"
"ex:monk/chon_thanh_bich_nguyen","Chơn Thanh Bích Nguyên"
"ex:monk/chon_thanh_tu_van","Chơn Thanh Từ Văn"
"ex:monk/chon_thanh_khanh_ngoc","Chơn Thành Khánh Ngọc"
"ex:monk/chon_thanh_quan_hue","Chơn Thành Quan Huệ"
"ex:monk/chon_thuong_khanh_do","Chơn Thường Khánh Độ"
"ex:monk/chon_thuong_quan_thien","Chơn Thường Quan Thiện"
"ex:monk/chon_that_phap_ngai","Chơn Thật Pháp Ngãi"
"ex:monk/chon_the_pho_minh","Chơn Thể Phổ Minh"
"ex:monk/chon_trung_dieu_quang","Chơn Trung Diệu Quang"
"ex:monk/chon_trung_minh_uc","Chơn Trung Minh Ðức"
"ex:monk/chon_trung_dao_thanh","Chơn Trừng Đạo Thanh"
"ex:monk/chon_ta_ton_bao","Chơn Tá Tôn Bảo"
"ex:monk/chon_tanh_hoang_dinh","Chơn Tánh Hoằng Định"
"ex:monk/chon_tam_phap_than","Chơn Tâm Pháp Thân"
"ex:monk/chon_tam_vien_minh","Chơn Tâm Viên Minh"
"ex:monk/chon_tin_phap_hy","Chơn Tín Pháp Hỷ"
"ex:monk/chon_ien_ao_phuoc","Chơn Ðiền Ðạo Phước"
"ex:monk/chon_dien_khanh_tri","Chơn Điển Khánh Trí"
"ex:monk/chon_dao_chi_tam","Chơn Đạo Chí Tâm"
"ex:monk/chon_danh_long_chuong","Chơn Đảnh Long Chương"
"ex:monk/chon_dinh_phuoc_thong","Chơn Đỉnh Phước Thông"
"ex:monk/chuong_an_quang_khanh","Chương An Quảng Khánh"
"ex:monk/chuong_chau_la_han","Chương Châu La Hán"
"ex:monk/chuong_chau_phu_thach","Chương Châu Phù Thạch"
"ex:monk/chuong_chi_thien_phuoc","Chương Chí Thiên Phước"
"ex:monk/chuong_chat_quang_thanh","Chương Chất Quảng Thành"
"ex:monk/chuong_hiep_chanh_tri","Chương Hiệp Chánh Trì"
"ex:monk/chuong_huong_chi_thang","Chương Hương Chí Thắng"
"ex:monk/chuong_hai_thanh_nguyen","Chương Hải Thanh Nguyên"
"ex:monk/chuong_khoang_chung_dao","Chương Khoáng Chứng Đạo"
"ex:monk/chuong_khuoc_giac_tanh","Chương Khước Giác Tánh"
"ex:monk/chuong_kinh_hoai_uan","Chương Kính Hoài Uẩn"
"ex:monk/chuong_lanh_nguyen_tu","Chương Lành Nguyên Từ"
"ex:monk/chuong_ly_hoang_hoa","Chương Lý Hoằng Hóa"
"ex:monk/chuong_ly_tri_quang","Chương Lý Trí Quang"
"ex:monk/chuong_nghia_thanh_tuyen","Chương Nghĩa Thanh Tuyền"
"ex:monk/chuong_nguyet_long_tang","Chương Nguyệt Long Tạng"
"ex:monk/chuong_nhan_thien_uc","Chương Nhân Thiện Ðức"
"ex:monk/chuong_nhu_tu_y","Chương Như Từ Ý"
"ex:monk/chuong_nhan_quang_hoa","Chương Nhẫn Quảng Hóa"
"ex:monk/chuong_nhan_tu_nhan","Chương Nhẫn Từ Nhân"
"ex:monk/chuong_niem_quang_giac","Chương Niệm Quảng Giác"
"ex:monk/chuong_quang_mat_hanh","Chương Quảng Mật Hạnh"
"ex:monk/chuong_thien_hoang_ao","Chương Thiện Hoằng Ðạo"
"ex:monk/chuong_trang_quang_chan","Chương Trang Quảng Chấn"
"ex:monk/chuong_truyen_phap_hoa","Chương Truyền Pháp Hóa"
"ex:monk/chuong_tri_quang_giac","Chương Trí Quảng Giác"
"ex:monk/chuong_tanh_quang_nhuan","Chương Tánh Quảng Nhuận"
"ex:monk/chuong_tam_phuoc_thuong","Chương Tâm Phước Thường"
"ex:monk/chuong_tan_chanh_nhan","Chương Tân Chánh Nhân"
"ex:monk/chuong_tin_hoang_an","Chương Tín Hoằng Ân"
"ex:monk/chuong_tu_hue_quang","Chương Tư Huệ Quang"
"ex:monk/chuong_tuong_vinh_ien","Chương Tường Vĩnh Ðiền"
"ex:monk/chuong_tu_quang_thien","Chương Từ Quảng Thiện"
"ex:monk/chuong_van_quang_o","Chương Vạn Quảng Ðộ"
"ex:monk/chuong_ac_tri_tap","Chương Ðắc Trí Tập"
"ex:monk/chuong_dan_huyen_dat","Chương Đàn Huyền Đạt"
"ex:monk/chuong_dao_quang_vien","Chương Đạo Quảng Viên"
"ex:monk/chat_sanh_tich_van","Chất Sanh Tịch Văn"
"ex:monk/cs_huong","Cs Hướng"
"ex:monk/can_nguyen_tong_dinh","Càn Nguyên Tông Dĩnh"
"ex:monk/can_nguyen_vien","Càn Nguyên Viên"
"ex:monk/can_phong_vien_tue","Càn Phong Viên Tuệ"
"ex:monk/cat_chau_chi_thanh","Cát Châu Chí Thành"
"ex:monk/cat_chau_chi_quan","Cát Châu Chỉ Quán"
"ex:monk/cat_chau_tanh_khong","Cát Châu Tánh Không"
"ex:monk/can_tu_son_sung_hue","Cân Tử Sơn Sùng Huệ"
"ex:monk/cong_an_to_chau","Công An Tổ Châu"
"ex:monk/cu_chau_loi_tung_tu_ho","Cù Châu Lợi Tung Tử Hồ"
"ex:monk/co_luong_nhan_phon","Cơ Lượng Nhân Phồn"
"ex:monk/anh_cong_ha_tung","Cư Sĩ Anh Công Hạ Tủng"
"ex:monk/ngo_tuan","Cư Sĩ Bí Thư Ngô Tuân"
"ex:monk/phung_tiep","Cư Sĩ Cấp Sự Phùng Tiếp"
"ex:monk/banh_nhu_lam","Cư Sĩ Gián Nghị Bành Nhữ Lâm"
"ex:monk/cs_huong","Cư Sĩ Hướng"
"ex:monk/long_ho_vuong_tieu","Cư Sĩ Long Hồ Vương Tiêu"
"ex:monk/mac_tuong_thieu_hu","Cư Sĩ Mạc Tướng Thượng Thư Thiếu Hư"
"ex:monk/tang_khai","Cư Sĩ Nội Hàng Tăng Khai"
"ex:monk/ly_tuan_uc","Cư Sĩ Phù Mã Lý Tuân Úc"
"ex:monk/quan_van_vuong_thieu","Cư Sĩ Quán Văn Vương Thiều"
"ex:monk/tien_doan_le","Cư Sĩ Tham Chánh Tiền Ðoan Lễ"
"ex:monk/to_triet","Cư Sĩ Tham Chánh Tô Triệt"
"ex:monk/hoang_dinh_kien","Cư Sĩ Thái Sử Hoàng Ðình Kiên"
