ID,Name,Province,Issue
pth:VN_HAN_034_Chua_chua_mot_cot_o_ha_noi,chùa Một Cột ở Hà Nội,Hà Nội,Missing location
pth:VN_THO_008_Chua_chua_deu_o_thanh_hoa,chùa đều ở Thanh Hóa,Thanh Hóa,Missing location
