STT,ID,Tên_Việt,Tên_Hán,Lat,Lon,Province,Source,Status,Mô_tả,Ghi_chú_Admin
81,PL000000000024,,缽鐸創那國,37.6334,70.8595,阿富汗-巴達赫尚省(Badakhshan)-Shighnan,DILA,master,,
82,PL000000000025,,達摩鐵悉帝國,36.949216,72.31702,阿富汗-巴達赫尚省(Badakhshan)-Wakhan,DILA,master,,
83,PL000000000026,,波咱拱拜,37.1548,74.0263,阿富汗-巴達赫尚省(Badakhshan)-Wakhan,DILA,master,,
84,PL000000000027,,喀喇噴赤,36.9731,72.6099,阿富汗-巴達赫尚省(Badakhshan)-Wakhan,DILA,master,,
85,PL000000000028,,護密,36.8125,72.189,阿富汗-巴達赫尚省(Badakhshan)-Wakhan,DILA,master,,
86,PL000000000029,,護密,37.0762,73.7365,阿富汗-巴達赫尚省(Badakhshan)-Wakhan,DILA,master,,
87,PL000000000030,,護密,36.993,72.6731,阿富汗-巴達赫尚省(Badakhshan)-Wakhan,DILA,master,,
88,PL000000000031,,缽和,37.0585,72.9195,阿富汗-巴達赫尚省(Badakhshan)-Wakhan,DILA,master,,
89,PL000000000032,,哇罕,36.8649,72.42,阿富汗-巴達赫尚省(Badakhshan)-Wakhan,DILA,master,,
90,PL000000000033,,婆羅犀羅,35.666667,69.8,阿富汗-巴格蘭省(Baghlan),DILA,master,,
91,PL000000000034,,烏那曷,36.9612,65.0646,阿富汗-法利亞布省(Faryab)-Andkhoy,DILA,master,,
92,PL000000000035,,謝越國,33.3852,68.6953,阿富汗-加茲尼省(Ghazni)-Dihyak,DILA,master,,
93,PL000000000036,,漕,33.5387,68.391,阿富汗-加茲尼省(Ghazni)-Ghazni,DILA,master,,
94,PL000000000038,,離謂,36.933379,66.691654,阿富汗-朱茲詹省(Jowzjan)-Mardyan,DILA,master,,
95,PL000000000039,,胡實健國,36.6661,65.7448,阿富汗-朱茲詹省(Jowzjan)-Shibirghan,DILA,master,,
96,PL000000000040,,弗栗氏薩儻那國,34.833536,69.095262,阿富汗-喀布爾省(Kabul)-KabulCity,DILA,master,,
97,PL000000000041,,高德,34.5789,69.2041,阿富汗-喀布爾省(Kabul)-ShakarDara,DILA,master,,
98,PL000000000042,,阿利尼國,37.217308,68.768264,阿富汗-昆都士省(Kunduz)-HazratiImam,DILA,master,,
99,PL000000000043,,瞢章,36.683229,69.114148,阿富汗-昆都士省(Kunduz)-KhanAbad,DILA,master,,
100,PL000000000044,,阿緩城,36.733208,68.866148,阿富汗-昆都士省(Kunduz)-Kunduz,DILA,master,,
101,PL000000000049,,迦臂施,34.9988,69.935,阿富汗-拉格曼省(Laghman)-DawlatShah,DILA,master,,
102,PL000000000050,,羅羅州濫犍城,34.663387,70.224534,阿富汗-拉格曼省(Laghman)-Mihtarlam,DILA,master,,
103,PL000000000051,,那揭,34.1761,69.9395,阿富汗-楠格哈爾省(Nangarhar)-Hisarak,DILA,master,,
104,PL000000000052,,那揭羅喝國,34.436229,70.4566,阿富汗-楠格哈爾省(Nangarhar)-JalalAbad,DILA,master,,
105,PL000000000053,,那呵梨城,34.4344,70.4612,阿富汗-楠格哈爾省(Nangarhar)-JalalAbad,DILA,master,,
106,PL000000000054,,那竭國城,34.436229,70.4566,阿富汗-楠格哈爾省(Nangarhar)-JalalAbad,DILA,master,,
107,PL000000000055,,佛頂骨城,34.333007,70.450011,阿富汗-楠格哈爾省(Nangarhar)-Rodat,DILA,master,,
108,PL000000000056,,迦臂施國,34.965197,69.266266,阿富汗-帕爾旺省(Parwan)-Bagram,DILA,master,,
109,PL000000000057,,質子伽藍,34.881402,69.812527,阿富汗-帕爾旺省(Parwan)-Bagram,DILA,master,,
110,PL000000000058,,犯引,34.89,68.4457,阿富汗-帕爾旺省(Parwan)-ShekhAli,DILA,master,,
111,PL000000000059,,紇露悉泯健國,36.252601,68.048178,阿富汗-薩曼甘省(Samangan)-Aybak,DILA,master,,
112,PL000000000060,,安呾邏縛國,35.782871,66.983216,阿富汗-薩爾普勒省(Sar-ePol)-BalkhAb,DILA,master,,
113,PL000000000061,,睿蜜城,35.646017,66.243786,阿富汗-薩爾普勒省(Sar-ePol)-Sar-i-PulCity,DILA,master,,
114,PL000000000062,,伽折國,36.2864,66.7471,阿富汗-薩爾普勒省(Sar-ePol)-SozmaQala,DILA,master,,
115,PL000000000063,,河塘之國,23.709921,90.407143,孟加拉,DILA,master,,
116,PL000000000064,,三摩怛吒國,24.043951,90.814693,孟加拉-DhakaDivision-(Norshingdi),DILA,master,,
117,PL000000000065,,分那婆陀那國,24.956718,89.34713,孟加拉-RajshaiDivision-(Bogra),DILA,master,,
118,PL000000000066,,跋始婆僧伽藍,24.951764,89.311793,孟加拉-RajshaiDivision-(Bogra),DILA,master,,
119,PL000000000067,,帕羅,27.2365,89.4434,不丹-帕羅宗(Paro)-Naja,DILA,master,,
120,PL000000000074,,陳氏,32.0514,118.778,,DILA,master,,
