raw_name,matched_name,matched_id,confidence,gps_found,lat,lon,frequency,source
Paris Pháp,巴黎,PL000000059433,0.7,False,,,1,DILA
Paris một,巴黎,PL000000059433,0.7,False,,,1,DILA
Max,路德維希-馬克西米利安-慕尼黑大學,PL000000059813,0.7,False,,,1,DILA
Thái Lan,Thái Lan,PL000000049622,1.0,False,,,1,DILA
Kinh Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Lạc Dương,Lạc Dương,PL000000023898,1.0,False,,,1,DILA
Đăng Châu,Châu,PL000000027906,0.7,False,,,1,DILA
TRlỀU CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
bình,和平,PL000000031517,0.7,False,,,1,DILA
PHẦN CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
đức,德安Phủ,PL000000027677,0.7,False,,,1,DILA
Triều Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Nam Châu,Châu,PL000000027906,0.7,False,,,1,DILA
các châu,Châu,PL000000027906,0.7,False,,,1,DILA
Hang,上Hải虹橋機場,PL000000058538,0.7,False,,,1,DILA
BÀNH CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
LÃNG CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
DĨNH CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
QUÂN CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
Phúc Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Huệ Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Phổ Chiếu,普照,PL000000028286,1.0,False,,,1,DILA
Thấp Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Thường Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Huy Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Xử Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Ôn Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Lãng Châu,Châu,PL000000027906,0.7,False,,,1,DILA
GIA CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
PHỦ CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
U Châu,Châu,PL000000027906,0.7,False,,,1,DILA
KIẾN CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
THIỀU CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
bổn châu,Châu,PL000000027906,0.7,False,,,1,DILA
PHƯỚC CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
Ích Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Bồ Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Mục Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Lô Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Tín Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Tháp Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Nhiêu Châu,Châu,PL000000027906,0.7,False,,,1,DILA
壬戌春重開戒壇於圓通寺,圓通Tự,PL000000060092,0.7,False,,,1,DILA
中華福建省溫陵桑蓮寺,福建Tỉnh,PL000000058552,0.7,False,,,1,DILA
天台山禪宗寺,比叡Sơn,PL000000057106,0.7,False,,,1,DILA
清涼寺,清涼Tự,PL000000059165,1.0,False,,,1,DILA
Cát Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Nghi Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Ðàm châu,Châu,PL000000027906,0.7,False,,,1,DILA
Nhữ châu,Châu,PL000000027906,0.7,False,,,1,DILA
敕賜國恩寺,龍SơnTự,PL000000031861,0.7,False,,,1,DILA
TUYỀN CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
Qua Châu,Châu,PL000000027906,0.7,False,,,1,DILA
NHỮ CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
TUYÊN CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
Cổ Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Giao Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Trì Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Quân Châu,Châu,PL000000027906,0.7,False,,,1,DILA
THAI CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
LỄ CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
VIỆT CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
Phủ Châu,Châu,PL000000027906,0.7,False,,,1,DILA
TRÁC CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
Hồ Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Hun,臺中Huyện,PL000000050045,0.7,False,,,1,DILA
Vụ Châu,Châu,PL000000027906,0.7,False,,,1,DILA
興隆寺,興隆Tự,PL000000059326,1.0,False,,,1,DILA
新平縣新富臨村福安禪寺,新平Huyện,PL000000039482,0.7,False,,,1,DILA
臨濟正宗三十五世興隆堂,興隆Đường,PL000000052504,0.7,False,,,1,DILA
開山興隆寺,興隆Tự,PL000000059326,0.7,False,,,1,DILA
Dương Châu,Châu,PL000000027906,0.7,False,,,1,DILA
hạt châu,Châu,PL000000027906,0.7,False,,,1,DILA
ban,佛焚身地,PL000000048384,0.7,False,,,1,DILA
Hoạt Châu,Châu,PL000000027906,0.7,False,,,1,DILA
CHƯƠNG CHÂU,Châu,PL000000027906,0.7,False,,,1,DILA
Paris hiện,巴黎,PL000000059433,0.7,False,,,1,DILA
Anh,QuanHảiTự ,PL000000005353,0.7,False,,,1,DILA
châu Âu,Châu,PL000000027906,0.7,False,,,1,DILA
Đàm Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Quả Châu,Châu,PL000000027906,0.7,False,,,1,DILA
châu thành,Châu,PL000000027906,0.7,False,,,1,DILA
