ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/chon_bang_hue_lien","Chơn Bàng Huệ Liên"
"ex:monk/chon_bang_hue_lien","Thích Đương Dung"
"ex:monk/chon_bich_tri_huy","Chơn Bích Trí Huy"
"ex:monk/chon_bon_phuoc_khanh","Chơn Bổn  Phước Khánh"
"ex:monk/chon_bon_phuoc_khanh","Chơn Bổn Phước Khánh"
"ex:monk/chon_can_dieu_ly","Chơn Cần Diệu Lý"
"ex:monk/chon_cang_phuoc_truyen","Chơn Cang Phước Truyền"
"ex:monk/chon_canh_hue_duyet","Chơn Cảnh Huệ Duyệt"
"ex:monk/chon_canh_tri_thang","Chơn Cảnh Trí Thắng"
"ex:monk/chon_chanh_phap_tang","Chơn Chánh Pháp Tạng"
"ex:monk/chon_chat_quang_long","Chơn Chất Quang Long"
"ex:monk/chon_chau_van_thanh","Chơn Châu Vạn Thành"
"ex:monk/chon_chi_bao_tho","Chơn Chi Bảo Thọ"
"ex:monk/chon_chinh_thien_qua","Chơn Chính Thiện Quả"
"ex:monk/chon_chung_thien_qua","Chơn Chứng Thiện Quả"
"ex:monk/chon_chuyen_long_tuong","Chơn Chuyên Long Tường"
"ex:monk/chon_cong_vien_giac","Chơn Công Viên Giác"
"ex:monk/chon_dam_duong_phong","Chơn Đàm Đương Phong"
"ex:monk/chon_dang_long_huong","Chơn Đằng Long Hương"
"ex:monk/chon_danh_long_chuong","Chơn Đảnh Long Chương"
"ex:monk/chon_dao_chi_tam","Chơn Đạo Chí Tâm"
"ex:monk/chon_dat_thien_an","Chơn Đạt Thiện Ân"
"ex:monk/chon_de_duong_chi","Chơn Đề Đương Chí"
"ex:monk/chon_dien_dao_phuoc","Chơn Ðiền Ðạo Phước"
"ex:monk/chon_dien_khanh_tri","Chơn Điển Khánh Trí"
"ex:monk/chon_dien_phuoc_hau","Chơn Diễn Phước Hậu"
"ex:monk/chon_dinh_phuoc_thong","Chơn Đỉnh Phước Thông"
"ex:monk/chon_dong_duong_can","Chơn Đồng Đương Cần"
"ex:monk/chon_dung_pho_nhuan","Chơn Dung Phổ Nhuận"
"ex:monk/chon_gia_phuoc_loc","Chơn Giá Phước Lộc"
"ex:monk/chon_giac_long_hai","Chơn Giác Long Hải"
"ex:monk/chon_giam_tri_hai","Chơn Giám Trí Hải"
"ex:monk/chon_hoa_long_an","Chơn Hòa Long Ân"
"ex:monk/chon_hue_pho_tri","Chơn Huệ Phổ Trí"
"ex:monk/chon_hue_pho_tri","Chơn Huệ Phổ Trí"
"ex:monk/chon_huong_chi_bao","Chơn Hương Chí Bảo"
"ex:monk/chon_huong_duong_dat","Chơn Hương Đương Đạt"
"ex:monk/chon_huong_thien_quang","Chơn Hương Thiên Quang"
"ex:monk/chon_huy_long_quang","Chơn Huy Long Quang"
"ex:monk/chon_ien_ao_phuoc","Chơn Ðiền Ðạo Phước"
"ex:monk/chon_khai_pho_hy","Chơn Khai Phổ Hy"
"ex:monk/chon_kiet_pho_hoa","Chơn Kiết Phổ Hóa"
"ex:monk/chon_kim_buu_lien","Chơn Kim Bửu Liên"
"ex:monk/chon_kim_phap_lam","Chơn Kim Pháp Lâm"
"ex:monk/chon_kinh_phap_huong","Chơn Kinh Pháp Hương"
"ex:monk/chon_lac_long_khanh","Chơn Lạc Long Khánh"
"ex:monk/chon_lam_pho_truyen","Chơn Lâm Phổ Truyền"
"ex:monk/chon_lang_duong_khanh","Chơn Lăng Đương Khánh"
"ex:monk/chon_lich_hoang_tho","Chơn Lịch Hoằng Thọ"
"ex:monk/chon_lich_hoang_tho","Chơn Phước Phổ Đồng"
"ex:monk/chon_long_thanh_van","Chơn Long Thanh Văn"
"ex:monk/chon_luan_phuoc_hue","Chơn Luận Phước Huệ"
"ex:monk/chon_luong_duong_thai","Chơn Lượng Đương Thái"
"ex:monk/chon_man_khanh_phu","Chơn Mẫn Khánh Phú"
"ex:monk/chon_mien_tri_hung","Chơn Miên Trí Hưng"
"ex:monk/chon_minh_thien_thanh","Chơn Minh Thiện Thành"
"ex:monk/chon_ngoc_long_tri","Chơn Ngọc Long Trí"
"ex:monk/chon_nguyen_long_phuc","Chơn Nguyện Long Phúc"
"ex:monk/chon_nha_hoang_nghia","Chơn Nhã Hoằng Nghĩa"
"ex:monk/chon_nhan_phuoc_dien","Chơn Nhẫn Phước Điền"
"ex:monk/chon_nhan_phuoc_dien","Chơn Nhẫn Phước Điền"
"ex:monk/chon_nhat_quang_minh","Chơn Nhật Quang Minh"
"ex:monk/chon_phap_phuoc_tri","Chơn Pháp Phước Trí"
"ex:monk/chon_phat_long_ton","Chơn Phát Long Tôn"
"ex:monk/chon_phong_chi_tam","Chơn Phong Chí Tâm"
"ex:monk/chon_phong_chi_tam","Chơn Thật Chí Bảo"
"ex:monk/chon_phu_bich_lam","Chơn Phú Bích Lâm"
"ex:monk/chon_phuoc_hoang_tho","Chơn Phước Hoằng Thọ"
"ex:monk/chon_phuoc_hue_phap","Chơn Phước Huệ Pháp"
"ex:monk/chon_phuoc_pho_dong","Chơn Phước Phổ Đồng"
"ex:monk/chon_phuong_thien_trung","Chơn Phương Thiện Trung"
"ex:monk/chon_qua_duong_nhu","Chơn Quả Đương Như"
"ex:monk/chon_quan_bao_hung","Chơn Quán Bảo Hưng"
"ex:monk/chon_quang_hoang_nhon","Chơn Quang Hoằng Nhơn"
"ex:monk/chon_quang_ngo_dat","Chơn Quang Ngộ Đạt"
"ex:monk/chon_quy_khanh_anh","Chơn Quý Khánh Anh"
"ex:monk/chon_quy_phuoc_long","Chơn Quý Phước Long"
"ex:monk/chon_quy_phuoc_long","Chơn Quý Phước Long"
"ex:monk/chon_quyen_hung_long","Chơn Quyên Hưng Long"
"ex:monk/chon_quynh_dieu_nguyen","Chơn Quỳnh Diệu Nguyên"
"ex:monk/chon_sam_pho_truyen","Chơn Sâm Phổ Truyền"
"ex:monk/chon_sao_duong_tiet","Chơn Sao Đương Tiết"
"ex:monk/chon_su_khanh_quy","Chơn Sự Khánh Quý"
"ex:monk/chon_su_khanh_tin","Chơn Sử Khánh Tín"
"ex:monk/chon_ta_ton_bao","Chơn Tá Tôn Bảo"
"ex:monk/chon_tam_phap_than","Chơn Tâm Pháp Thân"
"ex:monk/chon_tam_vien_minh","Chơn Tâm Viên Minh"
"ex:monk/chon_tan_quy_an","Chơn Tấn Quý An"
"ex:monk/chon_tanh_hoang_dinh","Chơn Tánh Hoằng Định"
"ex:monk/chon_tanh_hoang_dinh","Chơn Tánh Hoằng Định"
"ex:monk/chon_tanh_phuoc_hoa","Chơn Tánh Phước Hòa"
"ex:monk/chon_tanh_phuoc_loi","Chơn Tánh Phước Lợi"
"ex:monk/chon_tap_phuoc_hai","Chơn Tập Phước Hải"
"ex:monk/chon_thanh_bich_nguyen","Chơn Thanh Bích Nguyên"
"ex:monk/chon_thanh_khanh_ngoc","Chơn Thành Khánh Ngọc"
"ex:monk/chon_thanh_pho_quang","Chơn Thành Phổ Quang"
"ex:monk/chon_thanh_pho_quang","Chơn Thành Phổ Quang"
"ex:monk/chon_thanh_quan_hue","Chơn Thành Quan Huệ"
"ex:monk/chon_thanh_tu_van","Chơn Thanh Từ Văn"
"ex:monk/chon_that_chi_bao","Chơn Thật Chí Bảo"
"ex:monk/chon_that_phap_ngai","Chơn Thật Pháp Ngãi"
"ex:monk/chon_the_pho_minh","Chơn Thể Phổ Minh"
"ex:monk/chon_the_pho_minh","Chơn Thể Phổ Minh"
"ex:monk/chon_thien_chanh_tin","Chơn Thiện Chánh Tín"
"ex:monk/chon_tho_hoang_niem","Chơn Thọ Hoằng Niệm"
"ex:monk/chon_thong_dong_phuoc","Chơn Thông Đồng Phước"
"ex:monk/chon_thuan_thien_hoa","Chơn Thuần Thiện Hòa"
"ex:monk/chon_thuong_khanh_do","Chơn Thường Khánh Độ"
"ex:monk/chon_thuong_quan_thien","Chơn Thường Quan Thiện"
